"provincia	poblacion	codigopostalid	lat	lon	"
"Madrid	PrÃ¡dena del RincÃ³n	28191	-3.541751900	41.044185880	"
"Madrid	Puebla de la Sierra	28190	-3.445172150	41.012177650	"
"Madrid	Quijorna	28693	-4.057608710	40.426864660	"
"Madrid	RascafrÃ­a	28740	-3.880959820	40.905665710	"
"Madrid	RascafrÃ­a	28749	-3.880959820	40.905665710	"
"Madrid	RedueÃ±a	28721	-3.601972690	40.816554150	"
"Madrid	Ribatejada	28815	-3.393196530	40.667441080	"
"Madrid	Rivas-Vaciamadrid	28521	-3.516098020	40.328012640	"
"Madrid	Rivas-Vaciamadrid	28522	-3.516098020	40.328012640	"
"Madrid	Rivas-Vaciamadrid	28523	-3.516098020	40.328012640	"
"Madrid	Rivas-Vaciamadrid	28524	-3.516098020	40.328012640	"
"Madrid	Rivas-Vaciamadrid	28529	-3.516098020	40.328012640	"
"Madrid	Robledillo de la Jara	28194	-3.523878040	40.952105100	"
"Madrid	Robledo de Chavela	28294	-4.239374030	40.501778480	"
"Madrid	Robregordo	28755	-3.593547680	41.106736080	"
"Madrid	Las Rozas de Madrid	28231	-3.874573080	40.491951870	"
"Madrid	Las Rozas de Madrid	28232	-3.874573080	40.491951870	"
"Madrid	Las Rozas de Madrid	28290	-3.874573080	40.491951870	"
"Madrid	Rozas de Puerto Real	28649	-4.489931370	40.309825970	"
"Madrid	San AgustÃ­n del Guadalix	28750	-3.617431140	40.678939140	"
"Madrid	San Fernando de Henares	28830	-3.535005870	40.425325210	"
"Madrid	San Lorenzo de El Escorial	28200	-4.145088030	40.592540630	"
"Madrid	San Lorenzo de El Escorial	28750	-4.145088030	40.592540630	"
"Madrid	San MartÃ­n de la Vega	28330	-3.570049470	40.207711520	"
"Madrid	San MartÃ­n de Valdeiglesias	28680	-4.396960170	40.361570720	"
"Madrid	San SebastiÃ¡n de los Reyes	28700	-3.626718790	40.547054700	"
"Madrid	San SebastiÃ¡n de los Reyes	28701	-3.626718790	40.547054700	"
"Madrid	San SebastiÃ¡n de los Reyes	28702	-3.626718790	40.547054700	"
"Madrid	San SebastiÃ¡n de los Reyes	28703	-3.626718790	40.547054700	"
"Madrid	San SebastiÃ¡n de los Reyes	28706	-3.626718790	40.547054700	"
"Madrid	San SebastiÃ¡n de los Reyes	28707	-3.626718790	40.547054700	"
"Madrid	San SebastiÃ¡n de los Reyes	28708	-3.626718790	40.547054700	"
"Madrid	San SebastiÃ¡n de los Reyes	28709	-3.626718790	40.547054700	"
"Madrid	Santa MarÃ­a de la Alameda	28296	-4.258131560	40.596139400	"
"Madrid	Santa MarÃ­a de la Alameda	28297	-4.258131560	40.596139400	"
"Madrid	Santorcaz	28818	-3.234959210	40.472302810	"
"Madrid	Los Santos de la Humosa	28817	-3.259643920	40.501457950	"
"Madrid	La Serna del Monte	28737	-3.626027010	41.032823720	"
"Madrid	Serranillos del Valle	28979	-3.884287910	40.205189630	"
"Madrid	Sevilla la Nueva	28609	-4.027283740	40.346615420	"
"Madrid	Somosierra	28756	-3.580844040	41.132879150	"
"Madrid	Soto del Real	28791	-3.788260260	40.752941940	"
"Madrid	Talamanca de Jarama	28160	-3.514870040	40.746185910	"
"Madrid	Tielmes	28550	-3.313050200	40.246483170	"
"Madrid	Titulcia	28359	-3.570678250	40.135516250	"
"Madrid	TorrejÃ³n de Ardoz	28850	-3.478990190	40.459156100	"
"Madrid	TorrejÃ³n de la Calzada	28991	-3.795042400	40.199872330	"
"Madrid	TorrejÃ³n de Velasco	28990	-3.778873360	40.187360050	"
"Madrid	Torrelaguna	28180	-3.538200550	40.828003100	"
"Madrid	Torrelodones	28250	-3.931355760	40.576497850	"
"Madrid	Torremocha de Jarama	28189	-3.495823550	40.835606540	"
"Madrid	Torres de la Alameda	28813	-3.363015300	40.406594120	"
"Madrid	Valdaracete	28594	-3.192022890	40.210104160	"
"Madrid	Valdeavero	28816	-3.331613990	40.631292260	"
"Madrid	Valdelaguna	28391	-3.366774340	40.162125150	"
"Madrid	Valdemanco	28729	-3.663505970	40.871816970	"
"Madrid	Valdemaqueda	28295	-4.295148700	40.511013460	"
"Madrid	Valdemorillo	28210	-4.067051090	40.502164340	"
"Madrid	Valdemoro	28340	-3.678814740	40.188899480	"
